|subject_category|subject_prefix|edge_type|object_category|object_prefix|provided_by|frequency
0|cell|CLO|subclass_of|cell|CLO||77698
1|cell|FBbt|subclass_of|cell|FBbt||11880
2|cell|CL|subclass_of|cell|CL||6286
3|cell|ZFA|subclass_of|cell|ZFA||1824
4|cell|FMA|subclass_of|cell|FMA||1742
5|cell|FMA|subclass_of|cell|CL||670
6|cell|CL|subclass_of|cell|FMA||670
7|cell|ZFA|subclass_of|cell|CL||443
8|cell|CL|subclass_of|cell|ZFA||443
9|cell|FBbt|subclass_of|cell|CL||332
10|cell|CL|subclass_of|cell|FBbt||332
11|cell|WBbt|subclass_of|cell|WBbt||232
12|cell|CL|subclass_of|cell|WBbt||32
13|cell|WBbt|subclass_of|cell|CL||32
14|cell|http|subclass_of|cell|CLO||10
15|cell|CLO|subclass_of|cell|http||10
16|cell|MA|subclass_of|cell|CL||3
17|cell|CL|subclass_of|cell|MA||3
18|cell|CL|subclass_of|cell|OBI||1
19|cell|CLO|subclass_of|cell|OBI||1
20|cell|OBI|subclass_of|cell|CL||1
21|cell|OBI|subclass_of|cell|CLO||1
22|cell|CLO|subclass_of|anatomical entity|CLO||77698
23|cell|FBbt|subclass_of|anatomical entity|FBbt||11997
24|cell|CL|subclass_of|anatomical entity|CL||6286
25|cell|ZFA|subclass_of|anatomical entity|ZFA||1828
26|cell|FMA|subclass_of|anatomical entity|FMA||1743
27|cell|CL|subclass_of|anatomical entity|FMA||670
28|cell|FMA|subclass_of|anatomical entity|CL||670
29|cell|ZFA|subclass_of|anatomical entity|CL||443
30|cell|CL|subclass_of|anatomical entity|ZFA||443
31|cell|CL|subclass_of|anatomical entity|FBbt||332
32|cell|FBbt|subclass_of|anatomical entity|CL||332
33|cell|WBbt|subclass_of|anatomical entity|WBbt||245
34|cell|CL|part_of|anatomical entity|UBERON||170
35|cell|ZFA|subclass_of|anatomical entity|UBERON||124
36|cell|CL|subclass_of|anatomical entity|WBbt||32
37|cell|WBbt|subclass_of|anatomical entity|CL||32
38|cell|FBbt|subclass_of|anatomical entity|UBERON||19
39|cell|WBbt|subclass_of|anatomical entity|UBERON||12
40|cell|http|subclass_of|anatomical entity|CLO||10
41|cell|CLO|subclass_of|anatomical entity|http||10
42|cell|MA|subclass_of|anatomical entity|CL||3
43|cell|CL|subclass_of|anatomical entity|MA||3
44|cell|FMA|subclass_of|anatomical entity|UBERON||1
45|cell|CL|subclass_of|anatomical entity|UBERON||1
46|cell|OBI|subclass_of|anatomical entity|CLO||1
47|cell|CL|subclass_of|anatomical entity|OBI||1
48|cell|OBI|subclass_of|anatomical entity|CL||1
49|cell|CLO|subclass_of|anatomical entity|OBI||1
50|cell|CL|has_entity|quality|MP|[]|1
51|cell|CLO|subclass_of|cellular component|CLO||77698
52|cell|FBbt|subclass_of|cellular component|FBbt||11880
53|cell|CL|subclass_of|cellular component|CL||6286
54|cell|ZFA|subclass_of|cellular component|ZFA||1824
55|cell|FMA|subclass_of|cellular component|FMA||1742
56|cell|FMA|subclass_of|cellular component|CL||670
57|cell|CL|subclass_of|cellular component|FMA||670
58|cell|ZFA|subclass_of|cellular component|CL||443
59|cell|CL|subclass_of|cellular component|ZFA||443
60|cell|FBbt|subclass_of|cellular component|CL||332
61|cell|CL|subclass_of|cellular component|FBbt||332
62|cell|WBbt|subclass_of|cellular component|WBbt||232
63|cell|CL|subclass_of|cellular component|WBbt||32
