|subject_category|subject_prefix|edge_type|object_category|object_prefix|provided_by|frequency
0|gene|UMLS|interacts_with|gene|UMLS|semmeddb_sulab|454252
1|gene|UMLS|positively_regulates|gene|UMLS|semmeddb_sulab|352246
2|gene|UMLS|coexists_with|gene|UMLS|semmeddb_sulab|304662
3|gene|UMLS|negatively_regulates|gene|UMLS|semmeddb_sulab|234021
4|gene|UMLS|produces|gene|UMLS|semmeddb_sulab|130691
5|gene|UMLS|part_of|gene|UMLS|semmeddb_sulab|45339
6|gene|UMLS|subclass_of|gene|UMLS|semmeddb_sulab|13156
7|gene|UMLS|derives_into|gene|UMLS|semmeddb_sulab|12805
8|gene|UMLS|affects|gene|UMLS|semmeddb_sulab|70
9|gene|UMLS|related_to|gene|UMLS|semmeddb_sulab|62
10|gene|UMLS|affects|phenotypic_feature|UMLS|semmeddb_sulab|217
11|gene|UMLS|coexists_with|phenotypic_feature|UMLS|semmeddb_sulab|74
12|gene|UMLS|negatively_regulates|phenotypic_feature|UMLS|semmeddb_sulab|73
13|gene|UMLS|positively_regulates|phenotypic_feature|UMLS|semmeddb_sulab|72
14|gene|UMLS|interacts_with|phenotypic_feature|UMLS|semmeddb_sulab|70
15|gene|UMLS|produces|phenotypic_feature|UMLS|semmeddb_sulab|31
16|gene|UMLS|related_to|phenotypic_feature|UMLS|semmeddb_sulab|13
17|gene|UMLS|part_of|phenotypic_feature|UMLS|semmeddb_sulab|10
18|gene|UMLS|derives_into|phenotypic_feature|UMLS|semmeddb_sulab|8
19|gene|UMLS|manifestation_of|phenotypic_feature|UMLS|semmeddb_sulab|1
20|gene|UMLS|affects|activity_and_behavior|UMLS|semmeddb_sulab|1862
21|gene|UMLS|related_to|activity_and_behavior|UMLS|semmeddb_sulab|829
22|gene|UMLS|produces|activity_and_behavior|UMLS|semmeddb_sulab|122
23|gene|UMLS|coexists_with|activity_and_behavior|UMLS|semmeddb_sulab|23
24|gene|UMLS|positively_regulates|activity_and_behavior|UMLS|semmeddb_sulab|17
25|gene|UMLS|negatively_regulates|activity_and_behavior|UMLS|semmeddb_sulab|8
26|gene|UMLS|interacts_with|activity_and_behavior|UMLS|semmeddb_sulab|1
27|gene|UMLS|location_of|anatomical_entity|UMLS|semmeddb_sulab|31217
28|gene|UMLS|part_of|anatomical_entity|UMLS|semmeddb_sulab|10179
29|gene|UMLS|produces|anatomical_entity|UMLS|semmeddb_sulab|3623
30|gene|UMLS|affects|anatomical_entity|UMLS|semmeddb_sulab|775
31|gene|UMLS|coexists_with|anatomical_entity|UMLS|semmeddb_sulab|12
32|gene|UMLS|positively_regulates|anatomical_entity|UMLS|semmeddb_sulab|5
33|gene|UMLS|negatively_regulates|anatomical_entity|UMLS|semmeddb_sulab|5
34|gene|UMLS|interacts_with|anatomical_entity|UMLS|semmeddb_sulab|4
35|gene|UMLS|related_to|anatomical_entity|UMLS|semmeddb_sulab|3
36|gene|UMLS|location_of|cell_component|UMLS|semmeddb_sulab|61546
37|gene|UMLS|part_of|cell_component|UMLS|semmeddb_sulab|39205
38|gene|UMLS|affects|cell_component|UMLS|semmeddb_sulab|16340
39|gene|UMLS|produces|cell_component|UMLS|semmeddb_sulab|3235
40|gene|UMLS|coexists_with|cell_component|UMLS|semmeddb_sulab|2150
41|gene|UMLS|interacts_with|cell_component|UMLS|semmeddb_sulab|696
42|gene|UMLS|negatively_regulates|cell_component|UMLS|semmeddb_sulab|139
43|gene|UMLS|positively_regulates|cell_component|UMLS|semmeddb_sulab|100
44|gene|UMLS|subclass_of|cell_component|UMLS|semmeddb_sulab|53
45|gene|UMLS|derives_into|cell_component|UMLS|semmeddb_sulab|10
46|gene|UMLS|affects|biological_process_or_activity|UMLS|semmeddb_sulab|265069
47|gene|UMLS|causes|biological_process_or_activity|UMLS|semmeddb_sulab|35884
48|gene|UMLS|produces|biological_process_or_activity|UMLS|semmeddb_sulab|6168
49|gene|UMLS|related_to|biological_process_or_activity|UMLS|semmeddb_sulab|706
50|gene|UMLS|negatively_regulates|biological_process_or_activity|UMLS|semmeddb_sulab|481
51|gene|UMLS|interacts_with|biological_process_or_activity|UMLS|semmeddb_sulab|205
52|gene|UMLS|positively_regulates|biological_process_or_activity|UMLS|semmeddb_sulab|169
53|gene|UMLS|coexists_with|biological_process_or_activity|UMLS|semmeddb_sulab|121
54|gene|UMLS|derives_into|biological_process_or_activity|UMLS|semmeddb_sulab|14
55|gene|UMLS|part_of|biological_process_or_activity|UMLS|semmeddb_sulab|4
56|gene|UMLS|precedes|biological_process_or_activity|UMLS|semmeddb_sulab|1
57|gene|UMLS|manifestation_of|biological_process_or_activity|UMLS|semmeddb_sulab|1
58|gene|UMLS|subclass_of|biological_process_or_activity|UMLS|semmeddb_sulab|1
59|gene|UMLS|location_of|cell|UMLS|semmeddb_sulab|171510
60|gene|UMLS|part_of|cell|UMLS|semmeddb_sulab|101199
61|gene|UMLS|produces|cell|UMLS|semmeddb_sulab|60595
62|gene|UMLS|affects|cell|UMLS|semmeddb_sulab|52843
63|gene|UMLS|coexists_with|cell|UMLS|semmeddb_sulab|8
64|gene|UMLS|positively_regulates|cell|UMLS|semmeddb_sulab|6
65|gene|UMLS|interacts_with|cell|UMLS|semmeddb_sulab|4
66|gene|UMLS|negatively_regulates|cell|UMLS|semmeddb_sulab|4
67|gene|UMLS|related_to|cell|UMLS|semmeddb_sulab|3
68|gene|UMLS|interacts_with|protein|UMLS|semmeddb_sulab|98614
69|gene|UMLS|positively_regulates|protein|UMLS|semmeddb_sulab|76945
70|gene|UMLS|negatively_regulates|protein|UMLS|semmeddb_sulab|51275
71|gene|UMLS|coexists_with|protein|UMLS|semmeddb_sulab|48714
72|gene|UMLS|produces|protein|UMLS|semmeddb_sulab|20825
73|gene|UMLS|part_of|protein|UMLS|semmeddb_sulab|5885
74|gene|UMLS|subclass_of|protein|UMLS|semmeddb_sulab|4845
75|gene|UMLS|derives_into|protein|UMLS|semmeddb_sulab|2716
76|gene|UMLS|affects|protein|UMLS|semmeddb_sulab|53
77|gene|UMLS|related_to|protein|UMLS|semmeddb_sulab|5
78|gene|UMLS|gene_associated_with_condition|disease_or_phenotypic_feature|UMLS|semmeddb_sulab|302108
79|gene|UMLS|affects|disease_or_phenotypic_feature|UMLS|semmeddb_sulab|122360
80|gene|UMLS|treats|disease_or_phenotypic_feature|UMLS|semmeddb_sulab|101678
81|gene|UMLS|causes|disease_or_phenotypic_feature|UMLS|semmeddb_sulab|96478
82|gene|UMLS|predisposes|disease_or_phenotypic_feature|UMLS|semmeddb_sulab|60088
83|gene|UMLS|part_of|disease_or_phenotypic_feature|UMLS|semmeddb_sulab|55708
84|gene|UMLS|produces|disease_or_phenotypic_feature|UMLS|semmeddb_sulab|25712
85|gene|UMLS|related_to|disease_or_phenotypic_feature|UMLS|semmeddb_sulab|16771
86|gene|UMLS|prevents|disease_or_phenotypic_feature|UMLS|semmeddb_sulab|15899
87|gene|UMLS|negatively_regulates|disease_or_phenotypic_feature|UMLS|semmeddb_sulab|368
88|gene|UMLS|coexists_with|disease_or_phenotypic_feature|UMLS|semmeddb_sulab|74
89|gene|UMLS|interacts_with|disease_or_phenotypic_feature|UMLS|semmeddb_sulab|46
90|gene|UMLS|positively_regulates|disease_or_phenotypic_feature|UMLS|semmeddb_sulab|30
91|gene|UMLS|subclass_of|disease_or_phenotypic_feature|UMLS|semmeddb_sulab|17
92|gene|UMLS|precedes|disease_or_phenotypic_feature|UMLS|semmeddb_sulab|15
93|gene|UMLS|manifestation_of|disease_or_phenotypic_feature|UMLS|semmeddb_sulab|7
94|gene|UMLS|derives_into|disease_or_phenotypic_feature|UMLS|semmeddb_sulab|4
95|gene|UMLS|interacts_with|biological_entity|UMLS|semmeddb_sulab|236361
96|gene|UMLS|positively_regulates|biological_entity|UMLS|semmeddb_sulab|188743
97|gene|UMLS|coexists_with|biological_entity|UMLS|semmeddb_sulab|131061
98|gene|UMLS|negatively_regulates|biological_entity|UMLS|semmeddb_sulab|113627
99|gene|UMLS|part_of|biological_entity|UMLS|semmeddb_sulab|88497
100|gene|UMLS|produces|biological_entity|UMLS|semmeddb_sulab|64421
101|gene|UMLS|subclass_of|biological_entity|UMLS|semmeddb_sulab|11644
102|gene|UMLS|derives_into|biological_entity|UMLS|semmeddb_sulab|7967
103|gene|UMLS|affects|biological_entity|UMLS|semmeddb_sulab|57
104|gene|UMLS|related_to|biological_entity|UMLS|semmeddb_sulab|16
105|gene|UMLS|precedes|biological_entity|UMLS|semmeddb_sulab|1
106|gene|UMLS|location_of|gross_anatomical_structure|UMLS|semmeddb_sulab|208525
107|gene|UMLS|part_of|gross_anatomical_structure|UMLS|semmeddb_sulab|113409
108|gene|UMLS|affects|gross_anatomical_structure|UMLS|semmeddb_sulab|44456
109|gene|UMLS|produces|gross_anatomical_structure|UMLS|semmeddb_sulab|21786
110|gene|UMLS|coexists_with|gross_anatomical_structure|UMLS|semmeddb_sulab|42
111|gene|UMLS|positively_regulates|gross_anatomical_structure|UMLS|semmeddb_sulab|19
112|gene|UMLS|interacts_with|gross_anatomical_structure|UMLS|semmeddb_sulab|15
113|gene|UMLS|related_to|gross_anatomical_structure|UMLS|semmeddb_sulab|13
114|gene|UMLS|negatively_regulates|gross_anatomical_structure|UMLS|semmeddb_sulab|6
115|gene|UMLS|derives_into|gross_anatomical_structure|UMLS|semmeddb_sulab|2
116|gene|UMLS|interacts_with|chemical_substance|UMLS|semmeddb_sulab|264083
117|gene|UMLS|positively_regulates|chemical_substance|UMLS|semmeddb_sulab|177512
118|gene|UMLS|coexists_with|chemical_substance|UMLS|semmeddb_sulab|152446
119|gene|UMLS|negatively_regulates|chemical_substance|UMLS|semmeddb_sulab|147272
120|gene|UMLS|part_of|chemical_substance|UMLS|semmeddb_sulab|55884
121|gene|UMLS|produces|chemical_substance|UMLS|semmeddb_sulab|18561
122|gene|UMLS|derives_into|chemical_substance|UMLS|semmeddb_sulab|6037
123|gene|UMLS|subclass_of|chemical_substance|UMLS|semmeddb_sulab|3743
124|gene|UMLS|affects|chemical_substance|UMLS|semmeddb_sulab|276
125|gene|UMLS|related_to|chemical_substance|UMLS|semmeddb_sulab|22
126|gene|UMLS|precedes|chemical_substance|UMLS|semmeddb_sulab|2
127|gene|UMLS|coexists_with|genomic_entity|UMLS|semmeddb_sulab|15464
128|gene|UMLS|interacts_with|genomic_entity|UMLS|semmeddb_sulab|8523
129|gene|UMLS|part_of|genomic_entity|UMLS|semmeddb_sulab|7522
130|gene|UMLS|positively_regulates|genomic_entity|UMLS|semmeddb_sulab|2348
131|gene|UMLS|negatively_regulates|genomic_entity|UMLS|semmeddb_sulab|1253
132|gene|UMLS|derives_into|genomic_entity|UMLS|semmeddb_sulab|528
133|gene|UMLS|produces|genomic_entity|UMLS|semmeddb_sulab|426
134|gene|UMLS|subclass_of|genomic_entity|UMLS|semmeddb_sulab|52
135|gene|UMLS|related_to|genomic_entity|UMLS|semmeddb_sulab|29
136|gene|UMLS|affects|genomic_entity|UMLS|semmeddb_sulab|23
137|phenotypic_feature|UMLS|affects|gene|UMLS|semmeddb_sulab|217
138|phenotypic_feature|UMLS|coexists_with|gene|UMLS|semmeddb_sulab|74
139|phenotypic_feature|UMLS|negatively_regulates|gene|UMLS|semmeddb_sulab|73
140|phenotypic_feature|UMLS|positively_regulates|gene|UMLS|semmeddb_sulab|72
141|phenotypic_feature|UMLS|interacts_with|gene|UMLS|semmeddb_sulab|70
142|phenotypic_feature|UMLS|produces|gene|UMLS|semmeddb_sulab|31
143|phenotypic_feature|UMLS|related_to|gene|UMLS|semmeddb_sulab|13
144|phenotypic_feature|UMLS|part_of|gene|UMLS|semmeddb_sulab|10
145|phenotypic_feature|UMLS|derives_into|gene|UMLS|semmeddb_sulab|8
146|phenotypic_feature|UMLS|manifestation_of|gene|UMLS|semmeddb_sulab|1
147|phenotypic_feature|UMLS|coexists_with|phenotypic_feature|UMLS|semmeddb_sulab|420
148|phenotypic_feature|UMLS|subclass_of|phenotypic_feature|UMLS|semmeddb_sulab|36
149|phenotypic_feature|UMLS|affects|activity_and_behavior|UMLS|semmeddb_sulab|7
150|phenotypic_feature|UMLS|coexists_with|activity_and_behavior|UMLS|semmeddb_sulab|3
151|phenotypic_feature|UMLS|manifestation_of|activity_and_behavior|UMLS|semmeddb_sulab|1
152|phenotypic_feature|UMLS|location_of|anatomical_entity|UMLS|semmeddb_sulab|128
153|phenotypic_feature|UMLS|related_to|anatomical_entity|UMLS|semmeddb_sulab|100
154|phenotypic_feature|UMLS|part_of|anatomical_entity|UMLS|semmeddb_sulab|5
155|phenotypic_feature|UMLS|subclass_of|anatomical_entity|UMLS|semmeddb_sulab|1
156|phenotypic_feature|UMLS|location_of|cell_component|UMLS|semmeddb_sulab|33
157|phenotypic_feature|UMLS|part_of|cell_component|UMLS|semmeddb_sulab|15
158|phenotypic_feature|UMLS|affects|cell_component|UMLS|semmeddb_sulab|8
159|phenotypic_feature|UMLS|produces|cell_component|UMLS|semmeddb_sulab|1
160|phenotypic_feature|UMLS|affects|biological_process_or_activity|UMLS|semmeddb_sulab|152
161|phenotypic_feature|UMLS|manifestation_of|biological_process_or_activity|UMLS|semmeddb_sulab|109
162|phenotypic_feature|UMLS|coexists_with|biological_process_or_activity|UMLS|semmeddb_sulab|58
163|phenotypic_feature|UMLS|causes|biological_process_or_activity|UMLS|semmeddb_sulab|18
164|phenotypic_feature|UMLS|precedes|biological_process_or_activity|UMLS|semmeddb_sulab|16
165|phenotypic_feature|UMLS|produces|biological_process_or_activity|UMLS|semmeddb_sulab|7
166|phenotypic_feature|UMLS|related_to|biological_process_or_activity|UMLS|semmeddb_sulab|3
