|subject_category|subject_prefix|edge_type|object_category|object_prefix|provided_by|frequency
0|metabolite|KEGG|physically_interacts_with|protein|UniProtKB|KEGG;UniProtKB|44608
1|phenotypic_feature|HP|subclass_of|phenotypic_feature|HP|Monarch_SciGraph|29634
2|phenotypic_feature|HP|has_phenotype|protein|UniProtKB|BioLink|11603
3|phenotypic_feature|HP|affects|anatomical_entity|UBERON|BioLink|2853
4|phenotypic_feature|HP|affects|anatomical_entity|CL|BioLink|110
5|phenotypic_feature|HP|has_phenotype|microRNA|NCBIGene|BioLink|60
6|phenotypic_feature|HP|has_phenotype|disease|DOID|BioLink|649895
7|phenotypic_feature|AQTLTrait|has_phenotype|disease|DOID|BioLink|1
8|biological_process|GO|subclass_of|biological_process|GO|gene_ontology|114630
9|biological_process|GO|involved_in|protein|UniProtKB|gene_ontology|136555
10|biological_process|GO|capable_of|anatomical_entity|UBERON|Monarch_SciGraph|55
11|biological_process|GO|capable_of|anatomical_entity|CL|Monarch_SciGraph|31
12|biological_process|GO|involved_in|microRNA|NCBIGene|gene_ontology|1417
13|biological_process|GO|affects|disease|DOID|Monarch_SciGraph|86
14|biological_process|GO|affects|disease|OMIM|Monarch_SciGraph|4
15|chemical_substance|CHEMBL.COMPOUND|physically_interacts_with|protein|UniProtKB|ChEMBL|59440
16|chemical_substance|CHEMBL.COMPOUND|physically_interacts_with|protein|UniProtKB|Pharos|15512
17|protein|UniProtKB|physically_interacts_with|metabolite|KEGG|KEGG;UniProtKB|44608
18|protein|UniProtKB|has_phenotype|phenotypic_feature|HP|BioLink|11603
19|protein|UniProtKB|involved_in|biological_process|GO|gene_ontology|136555
20|protein|UniProtKB|physically_interacts_with|chemical_substance|CHEMBL.COMPOUND|ChEMBL|59440
21|protein|UniProtKB|physically_interacts_with|chemical_substance|CHEMBL.COMPOUND|Pharos|15512
22|protein|UniProtKB|physically_interacts_with|protein|UniProtKB|PC2|1098404
23|protein|UniProtKB|regulates|protein|UniProtKB|PC2|549020
24|protein|UniProtKB|regulates|protein|UniProtKB|GeneProf|256552
25|protein|UniProtKB|physically_interacts_with|protein|UniProtKB|reactome|133256
26|protein|UniProtKB|expressed_in|anatomical_entity|UBERON|BioLink|323101
27|protein|UniProtKB|expressed_in|anatomical_entity|CL|BioLink|15576
28|protein|UniProtKB|participates_in|pathway|REACT|reactome|790974
29|protein|UniProtKB|regulates|microRNA|NCBIGene|miRGate|332098
30|protein|UniProtKB|capable_of|molecular_function|GO|gene_ontology|62681
31|protein|UniProtKB|expressed_in|cellular_component|GO|gene_ontology|74377
32|protein|UniProtKB|gene_associated_with_condition|disease|DOID|DisGeNet|33189
33|protein|UniProtKB|gene_mutations_contribute_to|disease|OMIM|OMIM|5765
34|protein|UniProtKB|gene_associated_with_condition|disease|DOID|BioLink|3423
35|protein|UniProtKB|gene_associated_with_condition|disease|OMIM|BioLink|2132
36|protein|UniProtKB|gene_associated_with_condition|disease|MONDO|BioLink|188
37|anatomical_entity|UBERON|affects|phenotypic_feature|HP|BioLink|2853
38|anatomical_entity|CL|affects|phenotypic_feature|HP|BioLink|110
39|anatomical_entity|UBERON|capable_of|biological_process|GO|Monarch_SciGraph|55
40|anatomical_entity|CL|capable_of|biological_process|GO|Monarch_SciGraph|31
41|anatomical_entity|UBERON|expressed_in|protein|UniProtKB|BioLink|323101
42|anatomical_entity|CL|expressed_in|protein|UniProtKB|BioLink|15576
