|subject_category|subject_prefix|edge_type|relation|object_category|object_prefix|negated|frequency
0|cellular component|CLO|subclass_of|owl:subClassOf|cellular component|CLO||77698
1|cellular component|FBbt|subclass_of|owl:subClassOf|cellular component|FBbt||11880
2|cellular component|CL|subclass_of|owl:subClassOf|cellular component|CL||6286
3|cellular component|ZFA|subclass_of|owl:subClassOf|cellular component|ZFA||1824
4|cellular component|FMA|subclass_of|owl:subClassOf|cellular component|FMA||1742
5|cellular component|CL|subclass_of|owl:subClassOf|cellular component|FMA||670
6|cellular component|FMA|subclass_of|owl:subClassOf|cellular component|CL||670
7|cellular component|ZFA|subclass_of|owl:subClassOf|cellular component|CL||443
8|cellular component|CL|subclass_of|owl:subClassOf|cellular component|ZFA||443
9|cellular component|CL|subclass_of|owl:subClassOf|cellular component|FBbt||332
10|cellular component|FBbt|subclass_of|owl:subClassOf|cellular component|CL||332
11|cellular component|WBbt|subclass_of|owl:subClassOf|cellular component|WBbt||232
12|cellular component|WBbt|subclass_of|owl:subClassOf|cellular component|CL||32
13|cellular component|CL|subclass_of|owl:subClassOf|cellular component|WBbt||32
14|cellular component|http|subclass_of|owl:subClassOf|cellular component|CLO||10
15|cellular component|CLO|subclass_of|owl:subClassOf|cellular component|http||10
16|cellular component|MA|subclass_of|owl:subClassOf|cellular component|CL||3
17|cellular component|CL|subclass_of|owl:subClassOf|cellular component|MA||3
18|cellular component|UBERON|subclass_of|owl:subClassOf|cellular component|UBERON||2
19|cellular component|OBI|subclass_of|owl:subClassOf|cellular component|CLO||1
20|cellular component|OBI|subclass_of|owl:subClassOf|cellular component|CL||1
21|cellular component|CLO|subclass_of|owl:subClassOf|cellular component|OBI||1
22|cellular component|CL|subclass_of|owl:subClassOf|cellular component|OBI||1
23|cellular component|CLO|subclass_of|owl:subClassOf|anatomical entity|CLO||77698
24|cellular component|FBbt|subclass_of|owl:subClassOf|anatomical entity|FBbt||11997
25|cellular component|CL|subclass_of|owl:subClassOf|anatomical entity|CL||6286
26|cellular component|ZFA|subclass_of|owl:subClassOf|anatomical entity|ZFA||1828
27|cellular component|FMA|subclass_of|owl:subClassOf|anatomical entity|FMA||1743
