|subject_category|subject_prefix|edge_type|relation|object_category|object_prefix|negated|frequency
0|phenotypic_feature|HP|subclass_of|subclass_of|phenotypic_feature|HP||29652
1|phenotypic_feature|HP|has_phenotype|has_phenotype|protein|UniProtKB||11603
2|phenotypic_feature|HP|has_phenotype|has_phenotype|microRNA|NCBIGene||60
3|phenotypic_feature|HP|contraindicated_for|contraindicated_for|chemical_substance|CHEMBL.COMPOUND||12221
4|phenotypic_feature|HP|indicated_for|indicated_for|chemical_substance|CHEMBL.COMPOUND||2095
5|phenotypic_feature|HP|has_phenotype|has_phenotype|disease|DOID||649895
6|phenotypic_feature|HP|has_phenotype|has_phenotype|disease|OMIM||94807
7|phenotypic_feature|AQTLTrait|has_phenotype|has_phenotype|disease|DOID||1
8|phenotypic_feature|HP|affects|affects|anatomical_entity|UBERON||2853
9|phenotypic_feature|HP|affects|affects|anatomical_entity|CL||110
10|molecular_function|GO|subclass_of|subclass_of|molecular_function|GO||27382
11|molecular_function|GO|capable_of|capable_of|protein|UniProtKB||62677
12|biological_process|GO|subclass_of|subclass_of|biological_process|GO||114630
13|biological_process|GO|involved_in|involved_in|protein|UniProtKB||136556
14|biological_process|GO|involved_in|involved_in|microRNA|NCBIGene||1417
15|biological_process|GO|affects|disease_caused_by_disruption_of|disease|DOID||52
16|biological_process|GO|affects|disease_causes_disruption_of|disease|DOID||27
17|biological_process|GO|affects|realized_in_response_to|disease|DOID||6
18|biological_process|GO|affects|disease_caused_by_disruption_of|disease|OMIM||4
19|biological_process|GO|affects|disease_has_location|disease|DOID||1
20|biological_process|GO|capable_of|capable_of|anatomical_entity|CL||30
21|biological_process|GO|capable_of|capable_of|anatomical_entity|UBERON||30
22|biological_process|GO|capable_of|capable_of_part_of|anatomical_entity|UBERON||16
23|biological_process|GO|capable_of|contains_process|anatomical_entity|UBERON||4
24|biological_process|GO|capable_of|site_of|anatomical_entity|UBERON||3
25|biological_process|GO|capable_of|output_of|anatomical_entity|UBERON||1
26|biological_process|GO|capable_of|has_completed|anatomical_entity|CL||1
27|biological_process|GO|capable_of|functionally_related_to|anatomical_entity|UBERON||1
28|protein|UniProtKB|has_phenotype|has_phenotype|phenotypic_feature|HP||11603
29|protein|UniProtKB|capable_of|capable_of|molecular_function|GO||62677
30|protein|UniProtKB|involved_in|involved_in|biological_process|GO||136556
31|protein|UniProtKB|physically_interacts_with|physically_interacts_with|protein|UniProtKB||1230996
32|protein|UniProtKB|regulates|regulates_expression_of|protein|UniProtKB||475562
33|protein|UniProtKB|regulates|regulates_activity_of|protein|UniProtKB||330010
34|protein|UniProtKB|physically_interacts_with|physically_interacts_with|metabolite|KEGG||44608
35|protein|UniProtKB|expressed_in|expressed_in|cellular_component|GO||74377
36|protein|UniProtKB|regulates|regulates_expression_of|microRNA|NCBIGene||332256
37|protein|UniProtKB|physically_interacts_with|targets|chemical_substance|CHEMBL.COMPOUND||79356
38|protein|UniProtKB|affects|affects|chemical_substance|CHEMBL.COMPOUND||8855
39|protein|UniProtKB|negatively_regulates|inhibitor|chemical_substance|CHEMBL.COMPOUND||2315
40|protein|UniProtKB|positively_regulates|agonist|chemical_substance|CHEMBL.COMPOUND||1034
41|protein|UniProtKB|negatively_regulates|antagonist|chemical_substance|CHEMBL.COMPOUND||997
42|protein|UniProtKB|positively_regulates|positive allosteric modulator|chemical_substance|CHEMBL.COMPOUND||405
43|protein|UniProtKB|negatively_regulates|blocker|chemical_substance|CHEMBL.COMPOUND||347
44|protein|UniProtKB|positively_regulates|activator|chemical_substance|CHEMBL.COMPOUND||102
45|protein|UniProtKB|negatively_regulates|channel blocker|chemical_substance|CHEMBL.COMPOUND||98
46|protein|UniProtKB|affects|antibody|chemical_substance|CHEMBL.COMPOUND||97
47|protein|UniProtKB|negatively_regulates|allosteric modulator|chemical_substance|CHEMBL.COMPOUND||81
48|protein|UniProtKB|affects|binder|chemical_substance|CHEMBL.COMPOUND||79
49|protein|UniProtKB|negatively_regulates|modulator|chemical_substance|CHEMBL.COMPOUND||69
50|protein|UniProtKB|negatively_regulates|gating inhibitor|chemical_substance|CHEMBL.COMPOUND||9
51|protein|UniProtKB|positively_regulates|partial agonist|chemical_substance|CHEMBL.COMPOUND||8
