|subject_category|subject_prefix|edge_type|relation|object_category|object_prefix|negated|frequency
0|cell_component|UMLS|part_of|semmeddb:part_of|cell_component|UMLS|False|21648
1|cell_component|UMLS|location_of|semmeddb:location_of|cell_component|UMLS|False|924
2|cell_component|UMLS|part_of|semmeddb:part_of|cell_component|UMLS|True|706
3|cell_component|UMLS|coexists_with|semmeddb:coexists_with|cell_component|UMLS|False|296
4|cell_component|UMLS|affects|semmeddb:affects|cell_component|UMLS|False|94
5|cell_component|UMLS|negatively_regulates|semmeddb:negatively_regulates|cell_component|UMLS|False|40
6|cell_component|UMLS|location_of|semmeddb:location_of|cell_component|UMLS|True|26
7|cell_component|UMLS|positively_regulates|semmeddb:positively_regulates|cell_component|UMLS|False|8
8|cell_component|UMLS|produces|semmeddb:produces|cell_component|UMLS|False|6
9|cell_component|UMLS|affects|semmeddb:affects|cell_component|UMLS|True|4
10|cell_component|UMLS|derives_into|semmeddb:derives_into|cell_component|UMLS|False|2
11|cell_component|UMLS|interacts_with|semmeddb:interacts_with|cell_component|UMLS|False|2
12|cell_component|UMLS|coexists_with|semmeddb:coexists_with|cell_component|UMLS|True|2
13|cell_component|UMLS|affects|semmeddb:affects|biological_process_or_activity|UMLS|False|8935
14|cell_component|UMLS|affects|semmeddb:affects|biological_process_or_activity|UMLS|True|515
15|cell_component|UMLS|produces|semmeddb:produces|biological_process_or_activity|UMLS|False|375
16|cell_component|UMLS|location_of|semmeddb:location_of|biological_process_or_activity|UMLS|False|244
17|cell_component|UMLS|related_to|semmeddb:related_to|biological_process_or_activity|UMLS|False|23
18|cell_component|UMLS|produces|semmeddb:produces|biological_process_or_activity|UMLS|True|14
19|cell_component|UMLS|causes|semmeddb:causes|biological_process_or_activity|UMLS|False|8
20|cell_component|UMLS|part_of|semmeddb:part_of|biological_process_or_activity|UMLS|False|4
21|cell_component|UMLS|location_of|semmeddb:location_of|biological_process_or_activity|UMLS|True|4
22|cell_component|UMLS|manifestation_of|semmeddb:manifestation_of|biological_process_or_activity|UMLS|False|4
23|cell_component|UMLS|location_of|semmeddb:location_of|anatomical_entity|UMLS|False|2180
24|cell_component|UMLS|produces|semmeddb:produces|anatomical_entity|UMLS|False|180
25|cell_component|UMLS|part_of|semmeddb:part_of|anatomical_entity|UMLS|False|176
26|cell_component|UMLS|location_of|semmeddb:location_of|anatomical_entity|UMLS|True|60
27|cell_component|UMLS|affects|semmeddb:affects|anatomical_entity|UMLS|False|15
28|cell_component|UMLS|part_of|semmeddb:part_of|anatomical_entity|UMLS|True|4
29|cell_component|UMLS|affects|semmeddb:affects|anatomical_entity|UMLS|True|3
30|cell_component|UMLS|produces|semmeddb:produces|anatomical_entity|UMLS|True|2
31|cell_component|UMLS|related_to|semmeddb:related_to|anatomical_entity|UMLS|False|1
32|cell_component|UMLS|location_of|semmeddb:location_of|disease_or_phenotypic_feature|UMLS|False|16336
33|cell_component|UMLS|related_to|semmeddb:related_to|disease_or_phenotypic_feature|UMLS|False|3194
34|cell_component|UMLS|part_of|semmeddb:part_of|disease_or_phenotypic_feature|UMLS|False|2701
35|cell_component|UMLS|causes|semmeddb:causes|disease_or_phenotypic_feature|UMLS|False|341
36|cell_component|UMLS|predisposes|semmeddb:predisposes|disease_or_phenotypic_feature|UMLS|False|283
37|cell_component|UMLS|location_of|semmeddb:location_of|disease_or_phenotypic_feature|UMLS|True|263
38|cell_component|UMLS|affects|semmeddb:affects|disease_or_phenotypic_feature|UMLS|False|252
39|cell_component|UMLS|related_to|semmeddb:related_to|disease_or_phenotypic_feature|UMLS|True|44
40|cell_component|UMLS|coexists_with|semmeddb:coexists_with|disease_or_phenotypic_feature|UMLS|False|35
41|cell_component|UMLS|part_of|semmeddb:part_of|disease_or_phenotypic_feature|UMLS|True|31
42|cell_component|UMLS|produces|semmeddb:produces|disease_or_phenotypic_feature|UMLS|False|19
43|cell_component|UMLS|predisposes|semmeddb:predisposes|disease_or_phenotypic_feature|UMLS|True|9
44|cell_component|UMLS|affects|semmeddb:affects|disease_or_phenotypic_feature|UMLS|True|7
45|cell_component|UMLS|treats|semmeddb:treats|disease_or_phenotypic_feature|UMLS|False|7
46|cell_component|UMLS|causes|semmeddb:causes|disease_or_phenotypic_feature|UMLS|True|5
47|cell_component|UMLS|treats|semmeddb:treats|disease_or_phenotypic_feature|UMLS|True|2
48|cell_component|UMLS|interacts_with|semmeddb:interacts_with|disease_or_phenotypic_feature|UMLS|False|2
49|cell_component|UMLS|subclass_of|semmeddb:subclass_of|disease_or_phenotypic_feature|UMLS|False|1
50|cell_component|UMLS|location_of|semmeddb:location_of|biological_entity|UMLS|False|36937
51|cell_component|UMLS|part_of|semmeddb:part_of|biological_entity|UMLS|False|24547
52|cell_component|UMLS|affects|semmeddb:affects|biological_entity|UMLS|False|11038
53|cell_component|UMLS|produces|semmeddb:produces|biological_entity|UMLS|False|2919
